user_id,competence_id,appreciated_id,value_evaluation,type_evaluation,accordance,date_evaluation
2,1,2,5,Экспертный,True,2022-08-15
2,1,2,5,Экспертный,True,2023-02-17
2,1,2,5,Экспертный,True,2023-07-31
2,1,2,5,Экспертный,True,2024-02-04
2,1,2,5,Экспертный,True,2024-08-05
2,2,2,4,Уверенный,True,2022-08-15
2,2,2,4,Уверенный,True,2023-02-17
2,2,2,4,Уверенный,True,2023-07-31
2,2,2,4,Уверенный,True,2024-02-04
2,2,2,4,Уверенный,True,2024-08-05
2,3,2,1,Не владеет,False,2022-08-15
2,3,2,1,Не владеет,False,2023-02-17
2,3,2,2,Начинающий,False,2023-07-31
2,3,2,3,Базовый,False,2024-02-04
2,3,2,3,Базовый,False,2024-08-05
2,4,2,5,Экспертный,True,2022-08-15
2,4,2,5,Экспертный,True,2023-02-17
2,4,2,5,Экспертный,True,2023-07-31
2,4,2,5,Экспертный,True,2024-02-04
2,4,2,5,Экспертный,True,2024-08-05
2,5,2,2,Начинающий,False,2022-08-15
2,5,2,2,Начинающий,False,2023-02-17
2,5,2,2,Начинающий,False,2023-07-31
2,5,2,3,Базовый,False,2024-02-04
2,5,2,4,Уверенный,True,2024-08-05
2,6,2,5,Экспертный,True,2022-08-15
2,6,2,5,Экспертный,True,2023-02-17
2,6,2,5,Экспертный,True,2023-07-31
2,6,2,5,Экспертный,True,2024-02-04
2,6,2,5,Экспертный,True,2024-08-05
2,7,2,3,Базовый,False,2022-08-15
2,7,2,3,Базовый,False,2023-02-17
2,7,2,4,Уверенный,True,2023-07-31
2,7,2,4,Уверенный,True,2024-02-04
2,7,2,4,Уверенный,True,2024-08-05
2,8,2,4,Уверенный,True,2022-08-15
2,8,2,5,Экспертный,True,2023-02-17
2,8,2,5,Экспертный,True,2023-07-31
2,8,2,5,Экспертный,True,2024-02-04
2,8,2,5,Экспертный,True,2024-08-05
2,9,2,2,Начинающий,False,2022-08-15
2,9,2,2,Начинающий,False,2023-02-17
2,9,2,2,Начинающий,False,2023-07-31
2,9,2,2,Начинающий,False,2024-02-04
2,9,2,2,Начинающий,False,2024-08-05
2,10,2,4,Уверенный,True,2022-08-15
2,10,2,5,Экспертный,True,2023-02-17
2,10,2,5,Экспертный,True,2023-07-31
2,10,2,5,Экспертный,True,2024-02-04
2,10,2,5,Экспертный,True,2024-08-05
2,11,2,5,Экспертный,True,2022-08-15
2,11,2,5,Экспертный,True,2023-02-17
2,11,2,5,Экспертный,True,2023-07-31
2,11,2,5,Экспертный,True,2024-02-04
2,11,2,5,Экспертный,True,2024-08-05
2,12,2,3,Базовый,False,2022-08-15
2,12,2,3,Базовый,False,2023-02-17
2,12,2,3,Базовый,False,2023-07-31
2,12,2,4,Уверенный,True,2024-02-04
2,12,2,5,Экспертный,True,2024-08-05
2,13,2,2,Начинающий,False,2022-08-15
2,13,2,3,Базовый,False,2023-02-17
2,13,2,3,Базовый,False,2023-07-31
2,13,2,4,Уверенный,True,2024-02-04
2,13,2,4,Уверенный,True,2024-08-05
2,14,2,4,Уверенный,True,2022-08-15
2,14,2,4,Уверенный,True,2023-02-17
2,14,2,4,Уверенный,True,2023-07-31
2,14,2,4,Уверенный,True,2024-02-04
2,14,2,4,Уверенный,True,2024-08-05
2,15,2,3,Базовый,False,2022-08-15
2,15,2,3,Базовый,False,2023-02-17
2,15,2,4,Уверенный,True,2023-07-31
2,15,2,4,Уверенный,True,2024-02-04
2,15,2,4,Уверенный,True,2024-08-05
2,16,2,1,Не владеет,False,2022-08-15
2,16,2,2,Начинающий,False,2023-02-17
2,16,2,3,Базовый,False,2023-07-31
2,16,2,4,Уверенный,True,2024-02-04
2,16,2,5,Экспертный,True,2024-08-05
2,17,2,4,Уверенный,True,2022-08-15
2,17,2,5,Экспертный,True,2023-02-17
2,17,2,5,Экспертный,True,2023-07-31
2,17,2,5,Экспертный,True,2024-02-04
2,17,2,5,Экспертный,True,2024-08-05
2,18,2,3,Базовый,False,2022-08-15
2,18,2,3,Базовый,False,2023-02-17
2,18,2,4,Уверенный,True,2023-07-31
2,18,2,5,Экспертный,True,2024-02-04
